"","x"
"1",NA
"2",0.905882352941176
"3",0.906976744186046
"4",0.853658536585366
"5",0.885057471264368
"6",0.880952380952381
"7",0.927710843373494
"8",0.903614457831325
"9",0.902439024390244
"10",0.835294117647059
"11",0.930232558139535
"12",0.879518072289157
"13",0.903614457831325
"14",0.930232558139535
"15",0.904761904761905
"16",0.931818181818182
"17",0.904761904761905
"18",0.886363636363636
"19",0.908045977011494
"20",0.909090909090909
"21",0.930232558139535
"22",0.863636363636364
"23",0.885057471264368
"24",0.886363636363636
"25",0.930232558139535
"26",0.931818181818182
"27",0.931818181818182
"28",0.931818181818182
"29",0.931818181818182
"30",0.931034482758621
"31",0.909090909090909
"32",0.886363636363636
"33",0.909090909090909
"34",0.909090909090909
"35",0.908045977011494
